,title,api_game_title,wiki_game_title,genre,rating,year
785,Persona 5: The Animation,Persona 5,Persona 5,RPG,4.34,2018
790,Phantasy Star Online 2 The Animation,Phantasy Star Online 2,Phantasy Star Online 2,Massively Multiplayer,0.0,2016
795,Photo Kano,Kane and Lynch: Dead Men,Photo Kano,Shooter,3.66,2013
800,Pokémon,Pokémon Snap,Pokémon,Simulation,3.91,1997
805,Popolocrois,PoPoLoCrois,Popolocrois,RPG,0.0,1998
808,Power Stone,Power Stone,Power Stone,Fighting,4.11,1999
813,Prince of Stride: Alternative,Prince of Stride,Prince of Stride,Action,0.0,2016
818,Princess Lover!,Loren The Amazon Princess,Princess Lover!,Indie,0.0,2009
823,Professor Layton and the Eternal Diva,Professor Layton and the Diabolical Box,Professor Layton,Puzzle,3.55,2009
828,Rage of Bahamut: Genesis,Rage of Bahamut,Rage of Bahamut,,0.0,2014
833,Ragnarok the Animation,Ragnarok,Ragnarok,Strategy,2.43,2004
838,Sands of Destrcuction,Sands of Destruction,Sands of Destruction,,0.0,2008
843,Sakura Wars,Sakura Wars,Sakura Wars,RPG,0.0,2000
848,Samurai Shodown: The Motion Picture,Samurai Shodown,Samurai Shodown,Fighting,0.0,1994
853,Samurai Spirits 2: Asura Zanmaeden,Samurai Shodown 64: Warriors Rage,Samurai Shodown 64: Warriors Rage,Fighting,0.0,1999
858,Samurai Warriors,SAMURAI WARRIORS 4,Samurai Warriors 4,Action,4.23,2015
863,Salamander Basic Saga: Paola in Meditation,Fuck Videogames: The Videogame,Salamander_(video_game),,0.0,1988
868,Saru Get You -On Air-,Ape Escape,Ape Escape,,3.67,2006
878,School Days,School Days,School Days,Simulation,0.0,2007
883,Sengoku Basara: Samurai Kings,Sengoku BASARA: Samurai Heroes,Sengoku Basara,Action,3.9,2009
903,Senran Kagura,SENRAN KAGURA Burst Re:Newal,Senran Kagura,Action,0.0,2013
908,Shining Tears X Wind,Shining Tears,Shining Tears,Action,0.0,2007
913,Shining Tears X Wind,Shining Wind,Shining Wind,Action,0.0,2007
918,Shin Sakura Taisen the Animation,Project Sakura Wars,Project Sakura Wars,Action,0.0,2020
923,Show by Rock!!,The Beatles: Rock Band,Show by Rock!!,Arcade,4.2,2015
928,Shuffle!,Shuffle!,Shuffle!,Casual,0.0,2005 - 2006
938,Sin: The Movie,SiN,SiN,Shooter,3.62,2000
943,Steins;Gate,STEINS;GATE,Steins;Gate,RPG,4.26,2011
953,Steins;Gate 0,STEINS;GATE,Steins;Gate 0,RPG,4.26,2018
958,Street Fighter II: The Animated Movie,Street Fighter II: The World Warrior (1991),Street Fighter II,Fighting,4.25,1994
968,Street Fighter Alpha: The Animation,Street Fighter Alpha,Street Fighter Alpha,Fighting,0.0,2000
978,Street Fighter IV: The Ties That Bind,STREET FIGHTER IV,Street Fighter IV,Fighting,3.75,2009
983,Super Robot Wars Original Generation: Divine Wars,Super Robot Taisen: Original Generation,Super Robot Taisen: Original Generation,,0.0,2006 - 2007
988,Super Robot Wars Original Generation: The Inspector,Super Robot Taisen: Original Generation 2,Super Robot Taisen: Original Generation 2,,0.0,2010 - 2011
993,Slap-up Party: Arad Senki,ENKI,Arad Senki,Indie,0.0,2009
998,SoniAni: Super Sonico The Animation,Sonicomi,SoniComi: Communication with Sonico,Casual,0.0,2014
1003,Sonic the Hedgehog,Sonic The Hedgehog (2006),Sonic the Hedgehog,Platformer,2.19,1996
1013,Star Ocean EX,Star Ocean: The Second Story,Star Ocean: The Second Story,RPG,0.0,2001
1018,Super Mario Bros.: Peach-Hime Kyushutsu Dai Sakusen!,Super Mario Bros.,Super Mario Bros.,Platformer,4.29,1986
1023,Tales of Abyss,Abyss: The Wraiths of Eden,Tales of Abyss,Puzzle,3.25,2008 - 2009
1028,Tales of Eternia,Tales of Eternia,Tales of Eternia,RPG,0.0,2001
1033,Tales of Phantasia,Tales of Phantasia,Tales of Phantasia,RPG,0.0,2004 - 2006
1038,Tales of Symphonia The Animation,Tales of Symphonia (2003),Tales of Symphonia,RPG,4.15,2007 - 2012
1043,Tales of Vesperia: The First Strike,Tales of Vesperia,Tales of Vesperia,RPG,4.22,2009
1048,Tales of Zestiria: Dawn of the Shepherd,Tales of Zestiria,Tales of Zestiria,RPG,3.63,2014
1058,Tekken: The Motion Picture,Tekken (1994),Tekken,Fighting,3.78,1998
1068,The Idolmaster,The Idolmaster: Stella Stage,The Idolmaster,Arcade,0.0,2011
1073,The Idolmaster Cinderella Girls,Pretty Girl's Cinderella Style,The Idolmaster Cinderella Girls,Casual,0.0,2015
1078,Touken Ranbu: Hanamaru,Tekken (1994),Touken Ranbu,Fighting,3.78,2016
1103,Layton's Mystery Journey,Layton’s Mystery Journey,Layton's Mystery Journey: The TV Series,Puzzle,0.0,2018
1108,Pikmin,Pikmin (2001),Pikmin,,4.44,2014
1113,The Tower of Druaga: The Aegis of Uruk,The Tower of Druaga (1984),The Tower of Druaga,,0.0,2008
1123,True Tears,True Fear: Forsaken Souls,True Tears,Casual,0.0,2008
1128,Valkyria Chronicles,Valkyria Chronicles,Valkyria Chronicles,Strategy,4.08,2009 - 2011
1133,Variable Geo,V.G. Max (Variable Geo Max),Variable Geo,Fighting,0.0,1996 - 1997
1143,Viewtiful Joe,Viewtiful Joe (2003),Viewtiful Joe,Platformer,4.12,2005 - 2007
1148,Virtua Fighter,Virtua Fighter,Virtua Fighter,Fighting,3.5,1995 - 1996
1153,Wild Arms: Twilight Venom,Wild Arms (1996),Wild Arms,RPG,4.2,1999 - 2000
1158,Wonder Momo,Wonder Boy: The Dragon's Trap,Wonder Momo,Platformer,3.78,2014
1163,Xenosaga: The Animation,Xenosaga Episode III: Also sprach Zarathustra,Xenosaga,RPG,0.0,2005
1168,Yo-Kai Watch,YO-KAI WATCH,Yo-Kai Watch,,4.22,2014
1173,Yosuga no Sora,SOMA,Yosuga no Sora,Indie,4.1,2010
1178,Ys,Ys SEVEN,Ys,RPG,4.38,1989 - 1993
1183,Yumeria,Yumeria,Yumeria,Action,0.0,2004
1188,ZOE: 2167 IDOLO,Zone of the Enders,Zone of the Enders,Action,0.0,2000
