,Media,Demographic,Genre,Theme
Blame!,"Anime,Manga,Film",,"Action,Drama,Horror,Psychological,Science Fiction",
Blassreiter,"Anime,Manga,Light novel",,"Action,Drama,Science Fiction",
BlazBlue,"Anime,Manga,Games",,,
Bleach,"Anime,Manga,Light novel,Original Video Animation,Film,Games,Guide Book,Live Action",Shōnen,"Action,Fantasy,Supernatural",Shinigami
"Blend S","Anime,Manga",Seinen,"Comedy,Slice of Life","Yonkoma,Workplace"
"Blood Lad","Anime,Manga,Light novel,Original Video Animation",,"Action,Fantasy,Romance,Supernatural",
Blood+,"Anime,Manga,Light novel,Games",Shōnen,"Action,Adventure,Drama,Horror,Mystery,Romance,Supernatural","Memory Loss"
Blood-C,"Anime,Manga,Novel,Original Video Animation,Film,Live Action",,"Action,Horror,Mystery,Supernatural",
"Blood: The Last Vampire","Anime,Manga,Light novel,Film,Live Action,Games",,"Action,Horror,Supernatural",
Bloodivores,"Anime,Manhua",,"Action,Fantasy",
"Bloom into You","Manga,Anime",Shōnen,"Romance,Yuri",School
"Blue Blink","Anime,Games",,"Adventure,Fantasy",
"Blue Comet SPT Layzner",Anime,,Mecha,"Space,War"
"Blue Dragon","Anime,Manga,Games",,"Action,Adventure,Comedy,Fantasy,Supernatural","Dragons,Battle,War"
"Blue Drop","Anime,Manga",,"Drama,Romance,Science Fiction",
"Blue Gender","Anime,Manga",,"Adventure,Drama,Horror,Mecha,Romance,Science Fiction","Space,Military"
"Blue Seed","Anime,Manga,Original Video Animation,Games",,"Action,Romance,Supernatural",
"Bobobo-bo Bo-bobo","Anime,Manga,Games",,"Action,Comedy",Parody
"Boku dake ga Inai Machi","Anime,Manga,Novel,Film,Live Action,TV drama",Seinen,"Action,Mystery,Psychological,Romance,Supernatural",
"Boku no Imōto wa ""Ōsaka Okan""",Anime,,Comedy,Imouto
"Boku wa Tomodachi ga Sukunai","Anime,Manga,Light novel,Visual novel,Original Video Animation,Film,Live Action,Games,Audio Drama,Guide Book",,"Comedy,Drama,Romance,Slice of Life","Harem,School Life,Ecchi"
"Bokura ga Ita","Anime,Manga,Film,Live Action",Shōjo,"Drama,Romance,Slice of Life",
"Bokura wa Minna Kawai-Sō","Anime,Manga",,"Comedy,Romance,Slice of Life",
Bokurano,"Anime,Manga,Light novel",Seinen,"Action,Drama,Horror,Mecha,Mystery,Psychological,Science Fiction",Tragedy
Bomberman,"Anime,Manga,Games",,Action,
Boogiepop,"Anime,Light novel",,"Horror,Mystery",
"Bottle Fairy",Anime,,Comedy,"Magical Girl,Shorts"
"Bow Wow","Manga,Anime,Games,Film",Seinen,Comedy,Pets
"Boys Be...","Anime,Manga,Games",,"Comedy,Romance",
"Boys Over Flowers","Anime,Manga,Film,Live Action,TV drama",,"Comedy,Drama,Romance",
"Brain Powerd","Anime,Manga,Light novel",Shōnen,"Action,Mecha,Supernatural","Military,Post-Apocalyptic,Futuristic"
"Brave Beats",Anime,,Action,Dance
"Brave Raideen","Anime,Games",Shōnen,"Action,Adventure,Mecha,Science Fiction",
"Brave Series","Anime,Manga,Original Video Animation,Games","Kodomo,Shōnen","Action,Adventure,Comedy,Mecha,Science Fiction","Police,Cyberpunk,Aliens,School,Sentai,Robots,Futuristic,Trains"
"Brave Story","Anime,Manga,Novel,Film,Games",,,
Brave10,"Anime,Manga",,"Action,Adventure,Supernatural","Ecchi,Historical"
"Break Blade","Anime,Manga",,"Action,Adventure,Drama,Fantasy,Romance",
"Brigadoon: Marin & Melan","Anime,Manga",,"Science Fiction",
"Brothers Conflict","Anime,Manga,Novel,Games,Guide Book",,"Drama,Romance,Slice of Life",
Btooom!,"Anime,Manga,Games",Seinen,"Action,Adventure,Drama,Science Fiction","Survival,Mature,Hikikomori"
"Bubblegum Crisis","Anime,Original Video Animation",,Action,"Cyberpunk,Powered Suits,Police"
"Buddy Complex","Anime,Manga",,"Action,Drama,Mecha,Psychological,Science Fiction","Robots,Time Travel"
"Bungo Stray Dogs","Anime,Manga,Novel,Film,Guide Book",,"Action,Mystery,Supernatural","Superpower,Detective"
"Burn Up!","Anime,Original Video Animation",Seinen,"Action,Comedy,Science Fiction","Police,Crime,Fanservice,Girls with Guns"
"Burst Angel","Anime,Manga,Original Video Animation",,"Mecha,Yuri","Cyberpunk,Futuristic"
"Bus Gamer","Anime,Manga,Audio Drama",,"Action,Adventure,Drama",
"Buso Renkin","Anime,Manga,Novel,Audio Drama",,"Action,Science Fiction,Supernatural",Alchemy
"Busou Shinki","Anime,Games",,Fantasy,
"Butlers: Chitose Momotose Monogatari","Anime,Manga",,"Comedy,Supernatural",School
"Butt Attack Punisher Girl Gautaman","Anime,Manga,Original Video Animation",,"Comedy,Supernatural",
"Buzzer Beater","Anime,Manga",,Sports,
"CROSS ANGE Rondo of Angel and Dragon","Anime,Manga,Games,Guide Book",,"Action,Fantasy,Mecha,Science Fiction,Supernatural","Robots,Ecchi,Parallel World,Dragons"
Caligula,"Anime,Games",,"Action,Science Fiction",
Campione!,"Anime,Manga,Light novel",,"Fantasy,Romance",Harem
Canaan,"Anime,Manga,Light novel",,"Action,Adventure,Drama,Supernatural","Girls with Guns"
"Candy Candy","Anime,Manga,Novel",,Romance,
"Cannon Busters",Anime,,"Fantasy,Action,Adventure",
Canvas,"Anime,Manga,Light novel,Visual novel,Original Video Animation,Games",,Romance,Harem
Capeta,"Anime,Manga",Shōnen,Sports,Racing
"Captain Earth","Anime,Guide Book",,"Action,Mecha,Science Fiction,Slice of Life",
"Captain Tsubasa","Anime,Manga,Original Video Animation,Film,Games",,"Action,Sports",
"Cardcaptor Sakura","Anime,Manga,Film,Games,Guide Book",Shōjo,"Adventure,Romance","Magical Girl,School,Magic,Golden Age"
"Cardfight!! Vanguard","Anime,Manga,Film,Games",,"Action,Adventure,Science Fiction","Card Games"
"Carino Coni",Anime,,Fantasy,
"Carole & Tuesday",Anime,,"Drama,Romance,Science Fiction",Music
"Carried by the Wind: Tsukikage Ran",Anime,,"Comedy,Drama",
Casshan,"Anime,Manga",,"Action,Drama,Science Fiction",
"Cat's Eye","Anime,Manga,Novel,Film,Live Action",Shōnen,"Action,Comedy,Drama,Romance","Crime,Police,Kaitou"
"Cells at Work!","Anime,Manga",Shōnen,Comedy,"Science,Anthropomorphism,Female Protagonist"
"Ceres, Celestial Legend","Anime,Manga,Novel",,"Action,Fantasy,Romance",
"Chain Chronicle","Anime,Original Video Animation,Film,Games",,"Action,Fantasy",
"Chance Pop Session",Anime,,"Drama,Romance",Musical
"Chaos Dragon: Sekiryuu Seneki","Anime,Manga,Games",,"Action,Fantasy,Supernatural",
Chaos;Child,"Anime,Manga,Visual novel,Games,Audio Drama,Guide Book,Original Video Animation,Film",,"Mystery,Science Fiction,Supernatural,Psychological",
Chaos;Head,"Anime,Manga,Visual novel,Games,Audio Drama",,"Action,Drama,Horror,Mystery,Psychological,Romance,Science Fiction,Supernatural","Harem,Hikikomori"
Charlotte,"Anime,Manga,Original Video Animation,Audio Drama",,"Drama,Supernatural","School,Superpower,Tragedy"
"Cheating Craft","Anime,Visual novel",,Action,
"Cheeky Angel","Manga,Anime",Shōnen,"Action,Comedy,Romance","Magic,Gender Bender"
"Cheer Boys!!","Anime,Manga,Novel","Shōnen,Shōjo","Comedy,Drama,Slice of Life,Sports","School Life,Cheerleading"
"Chi's Sweet Home","Anime,Manga",,"Comedy,Slice of Life","Cats,Pets"
"Chi-Sui Maru",Anime,,Comedy,
"Chibi Devi!","Anime,Manga,Games",Shōjo,Comedy,"School Life,Childcare"
